time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449850000	16.5441	19.3643	4.72731	2.53284	0.523168	radar	3.26015	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3071	19.5354	4.85094	2.55828	0.521843	lidar	0.809919	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0861	19.6175	4.81724	2.60823	0.555826	radar	10.0943	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8778	19.7634	4.85229	2.62845	0.548039	lidar	0.730704	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6929	19.8848	4.78543	2.63496	0.506662	radar	3.29021	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4524	20.0447	4.89813	2.65239	0.497853	lidar	1.18606	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2335	20.1922	4.93911	2.66326	0.477828	radar	5.59575	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.053	20.3169	4.88448	2.67597	0.467126	lidar	1.97731	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8214	20.4008	4.88567	2.71237	0.485976	radar	2.11492	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6077	20.5179	4.88918	2.72951	0.478839	lidar	0.619369	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3657	20.609	4.93154	2.764	0.49938	radar	1.20224	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.121	20.6815	4.94207	2.79603	0.50633	lidar	0.670233	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8798	20.7558	4.96586	2.82996	0.523359	radar	0.343534	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6016	20.8215	5.03717	2.86367	0.530177	lidar	1.47086	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3481	20.856	5.06941	2.9141	0.57352	radar	2.41523	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1091	20.8922	5.03711	2.94774	0.578883	lidar	0.223493	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8753	20.9516	5.01685	2.96945	0.570081	radar	1.80398	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6937	20.9853	4.88178	2.99509	0.569375	lidar	2.17563	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.435	21.029	4.93196	3.02223	0.569875	radar	2.51994	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1903	21.065	4.93786	3.04719	0.566192	lidar	0.121531	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.951	21.085	4.93921	3.07809	0.57366	radar	0.982031	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7159	21.0523	4.89067	3.12268	0.59077	lidar	1.96745	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4683	21.0389	4.89323	3.15812	0.59774	radar	1.09269	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2626	21.0283	4.81343	3.18923	0.600642	lidar	0.68802	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0061	20.9905	4.84295	3.22823	0.610481	radar	4.17013	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8058	20.9491	4.75557	3.26627	0.620187	lidar	0.507459	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5631	20.9443	4.6962	3.27627	0.581775	radar	5.4672	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2665	20.9779	4.83966	3.27576	0.54756	lidar	3.56333	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0305	20.958	4.82759	3.29627	0.538738	radar	1.01642	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.85019	20.9152	4.7114	3.32873	0.547082	lidar	1.49989	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62937	20.9	4.60748	3.33444	0.508803	radar	2.13278	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.4438	20.8481	4.52756	3.36573	0.516642	lidar	0.601937	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.23295	20.8022	4.52168	3.39124	0.51883	radar	1.39482	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.91354	20.7794	4.72065	3.39154	0.487837	lidar	3.05845	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70736	20.6978	4.69049	3.42805	0.503402	radar	4.27411	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41174	20.6193	4.83408	3.44721	0.494155	lidar	3.0627	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18346	20.5396	4.84456	3.47516	0.499588	radar	0.0643384	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93427	20.4608	4.88612	3.49572	0.494131	lidar	0.153382	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71727	20.3755	4.91173	3.52648	0.508548	radar	3.37727	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.3852	20.3204	5.10538	3.51936	0.470638	lidar	3.18314	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.14859	20.2262	5.08317	3.53937	0.463146	radar	0.262674	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.87962	20.1424	5.14659	3.54992	0.448797	lidar	0.402755	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.65268	20.0522	5.09908	3.56587	0.438121	radar	0.601574	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.40701	19.9592	5.12134	3.58007	0.429731	lidar	0.191533	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.19043	19.8664	5.08567	3.59797	0.426612	radar	2.99035	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.92557	19.7718	5.14856	3.60505	0.410618	lidar	0.497409	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.68322	19.6291	5.24547	3.63747	0.43156	radar	1.67019	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52834	19.5024	5.10558	3.67465	0.450599	lidar	1.94951	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.3256	19.3542	5.09821	3.70705	0.463068	radar	1.81231	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12019	19.2511	5.0616	3.72059	0.453833	lidar	2.00859	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94074	19.1381	4.92863	3.73685	0.441019	radar	4.67543	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
